Area Identifier,Area Name,House Prices: Reference Period = 2011; measure type = Lower Quartile,House Prices: Reference Period = 2011; measure type = Mean,House Prices: Reference Period = 2011; measure type = Median,House Prices: Reference Period = 2011; measure type = Upper Quartile,House Prices: Reference Period = 2012; measure type = Lower Quartile,House Prices: Reference Period = 2012; measure type = Mean,House Prices: Reference Period = 2012; measure type = Median,House Prices: Reference Period = 2012; measure type = Upper Quartile,House Prices: Reference Period = 2010; measure type = Lower Quartile,House Prices: Reference Period = 2010; measure type = Mean,House Prices: Reference Period = 2010; measure type = Median,House Prices: Reference Period = 2010; measure type = Upper Quartile,House Prices: Reference Period = 2009; measure type = Lower Quartile,House Prices: Reference Period = 2009; measure type = Mean,House Prices: Reference Period = 2009; measure type = Median,House Prices: Reference Period = 2009; measure type = Upper Quartile
http://statistics.gov.scot/id/statistical-geography/S01000041,S01000041,125000,182182,140000,225000,212500,279089,299950,322593,123500,165625,156500,210000,133000,179667,160000,230000
http://statistics.gov.scot/id/statistical-geography/S01000042,S01000042,110000,125358,125000,142000,128000,147346,143193,166693,100000,122500,105000,147500,132000,145853,137000,172500
http://statistics.gov.scot/id/statistical-geography/S01000043,S01000043,107935,133869,122500,151000,117500,143784,130000,157500,122000,131834,125000,135500,112000,132568,118250,130000
http://statistics.gov.scot/id/statistical-geography/S01000044,S01000044,100750,116850,115150,138000,105375,138293,133000,180000,95000,119646,100000,150000,106000,120172,122475,132250
http://statistics.gov.scot/id/statistical-geography/S01000045,S01000045,220000,248000,250000,283000,250000,278051,254000,259255,249000,263056,255000,270500,210000,222417,218000,231000
http://statistics.gov.scot/id/statistical-geography/S01000046,S01000046,265000,317926,295000,340000,241500,276823,250000,310000,275000,351603,295000,390000,250000,274031,257500,284500
http://statistics.gov.scot/id/statistical-geography/S01000047,S01000047,115500,145819,138750,175000,110500,150236,123975,166500,114500,139085,124950,176000,110511,138003,125000,139000
http://statistics.gov.scot/id/statistical-geography/S01000048,S01000048,135000,222484,237519,335000,140000,215339,201300,280500,170000,231614,230000,285000,160000,236703,280000,298333
http://statistics.gov.scot/id/statistical-geography/S01000049,S01000049,233778,290000,295712,351250,250000,304038,300000,325000,239000,310607,265000,372750,228385,267356,250000,301250
http://statistics.gov.scot/id/statistical-geography/S01000050,S01000050,200000,266633,243500,275000,186364,245985,207500,280000,222500,314781,245000,360000,170000,235028,178500,280000
http://statistics.gov.scot/id/statistical-geography/S01000051,S01000051,235500,264792,242500,254250,253645,313161,292500,347000,249500,254125,260000,276500,237500,244001,246000,250000
http://statistics.gov.scot/id/statistical-geography/S01000052,S01000052,115000,124167,125000,132500,120000,112955,122000,130000,115000,114900,120000,122500,82000,91077,93000,98232
